count,"Landing Pages (Tier A) Should be everything not in other Tiers, B, C, D, E",Product Pages (Tier B) Use Pattern Matching,Event Pages (Tier C) Use Pattern Matching,Blog Pages (Tier D) Use Pattern Matching,Academy Pages (Tier E) Specific URLS,Unmapped Pages (Tier F) Anything not mapped in other tiers
39,https://www.alanranger.com/photography-tuition-services,https://www.alanranger.com/photo-workshops-uk/landscape-photography-devon-hartland-quay,https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk2-n8l4l,https://www.alanranger.com/blog-on-photography/macro-photography-guide,,
40,https://www.alanranger.com/photography-workshops,https://www.alanranger.com/photo-workshops-uk/landscape-photography-snowdonia-workshops,https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk2-y3262,https://www.alanranger.com/blog-on-photography/what-is-depth-of-field,,
41,https://www.alanranger.com/photography-workshops-near-me,https://www.alanranger.com/photo-workshops-uk/landscape-photography-wales-photo-workshop,https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk3,https://www.alanranger.com/blog-on-photography/what-is-still-life-photography,,
42,https://www.alanranger.com/private-photography-lessons,https://www.alanranger.com/photo-workshops-uk/landscape-photography-workshop-norfolk,https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk3-42ynf,https://www.alanranger.com/blog-on-photography/long-exposure-photography-guide,,
43,https://www.alanranger.com/professional-commercial-photographer-coventry,https://www.alanranger.com/photo-workshops-uk/landscape-photography-workshops-anglesey,https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk3-7cd64,https://www.alanranger.com/blog-on-photography/landscape-photography-guide,,
44,https://www.alanranger.com/professional-photographer-near-me,https://www.alanranger.com/photo-workshops-uk/landscape-photography-workshops-nant-mill,https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk3-9b3t3,https://www.alanranger.com/blog-on-photography/black-and-white-photography-guide,,
45,https://www.alanranger.com/rps-courses-mentoring-distinctions,https://www.alanranger.com/photo-workshops-uk/long-exposure-photography-kenilworth,https://www.alanranger.com/beginners-photography-lessons/rps-courses-rps-distinctions-mentoring-1,https://www.alanranger.com/blog-on-photography/architecture-photography-guide-checklist,,
46,https://www.alanranger.com/schedule-an-appointment,https://www.alanranger.com/photo-workshops-uk/long-exposure-photography-workshop-fairy-glen,https://www.alanranger.com/beginners-photography-lessons/rps-courses-rps-distinctions-mentoring-2,https://www.alanranger.com/blog-on-photography/photography-storytelling-composition,,
47,https://www.alanranger.com/terms-and-conditions,https://www.alanranger.com/photo-workshops-uk/long-exposure-photography-workshops-burnham,https://www.alanranger.com/beginners-photography-lessons/rps-courses-rps-distinctions-mentoring-3,https://www.alanranger.com/blog-on-photography/composition-photography-style,,
48,https://www.alanranger.com/testimonials-customer-reviews,https://www.alanranger.com/photo-workshops-uk/north-yorkshire-landscape-photography,https://www.alanranger.com/beginners-photography-lessons/rps-courses-rps-distinctions-mentoring-4,https://www.alanranger.com/blog-on-photography/photography-composition-observation,,
49,https://www.alanranger.com/website-cookie-policy,https://www.alanranger.com/photo-workshops-uk/peak-district-heather-photography-workshop,https://www.alanranger.com/beginners-photography-lessons/rps-courses-rps-distinctions-mentoring-5,https://www.alanranger.com/blog-on-photography/photography-composition-negative-spacee,,
50,https://www.alanranger.com/website-terms-and-conditions,https://www.alanranger.com/photo-workshops-uk/photography-workshops-chesterton-windmill,https://www.alanranger.com/beginners-photography-lessons/rps-courses-rps-distinctions-mentoring-6,https://www.alanranger.com/blog-on-photography/photography-composition-leading-lines,,
51,https://www.alanranger.com/which-photography-style-is-right-for-you,https://www.alanranger.com/photo-workshops-uk/photography-workshops-lavender-fields,https://www.alanranger.com/photographic-workshops-near-me/abstract-and-macro-photography-workshop,https://www.alanranger.com/blog-on-photography/photography-composition-framing,,
52,,https://www.alanranger.com/photo-workshops-uk/poppy-fields-photography-workshops,https://www.alanranger.com/photographic-workshops-near-me/abstract-and-macro-photography-workshop-coventry,https://www.alanranger.com/blog-on-photography/photography-contrast-composition,,
53,,https://www.alanranger.com/photo-workshops-uk/secrets-of-woodland-photography-workshop,https://www.alanranger.com/photographic-workshops-near-me/anglesey-photography-workshop-wales,https://www.alanranger.com/blog-on-photography/photography-compositional-balance,,
54,,https://www.alanranger.com/photo-workshops-uk/sezincote-garden-photography-workshop,https://www.alanranger.com/photographic-workshops-near-me/batsford-arboretum-autumn-photography-1nov,https://www.alanranger.com/blog-on-photography/photography-composition-rules,,
55,,https://www.alanranger.com/photo-workshops-uk/suffolk-landscape-photography-workshops,https://www.alanranger.com/photographic-workshops-near-me/batsford-arboretum-autumn-photography-29oct,https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography,,
56,,https://www.alanranger.com/photo-workshops-uk/urban-architecture-photography-workshops-coventry,https://www.alanranger.com/photographic-workshops-near-me/batsford-arboretum-autumn-photography-2nov,https://www.alanranger.com/blog-on-photography/15-principles-to-improve-composition,,
57,,https://www.alanranger.com/photo-workshops-uk/wales-photography-workshop-pistyll-rhaeadr,https://www.alanranger.com/photographic-workshops-near-me/batsford-arboretum-autumn-photography-30oct,https://www.alanranger.com/blog-on-photography/what-is-manual-exposure-in-photography,,
58,,https://www.alanranger.com/photo-workshops-uk/woodland-photography-walk-warwickshire,https://www.alanranger.com/photographic-workshops-near-me/batsford-arboretum-autumn-photography-31oct,https://www.alanranger.com/blog-on-photography/what-is-aperture-in-photography,,
59,,https://www.alanranger.com/photo-workshops-uk/yorkshire-dales-photography-workshops,https://www.alanranger.com/photographic-workshops-near-me/batsford-arboretum-autumn-photography-3nov,https://www.alanranger.com/blog-on-photography/tripod-for-cameras-essential-guide,,
60,,,https://www.alanranger.com/photographic-workshops-near-me/bluebell-photography-photo-workshop-warwickshire-01,https://www.alanranger.com/blog-on-photography/what-is-negative-space-in-photography,,
61,,,https://www.alanranger.com/photographic-workshops-near-me/bluebell-photography-photo-workshop-warwickshire-17,https://www.alanranger.com/blog-on-photography/mastering-abstract-photography,,
62,,,https://www.alanranger.com/photographic-workshops-near-me/bluebell-photography-photo-workshop-warwickshire-18,https://www.alanranger.com/blog-on-photography/product-photography-setup,,
63,,,https://www.alanranger.com/photographic-workshops-near-me/bluebell-photography-photo-workshop-warwickshire-19,https://www.alanranger.com/blog-on-photography/how-to-improve-your-photography-composition,,
64,,,https://www.alanranger.com/photographic-workshops-near-me/bluebell-photography-photo-workshop-warwickshire-20,https://www.alanranger.com/blog-on-photography/are-camera-uv-filters-worth-it,,
65,,,https://www.alanranger.com/photographic-workshops-near-me/bluebell-photography-photo-workshop-warwickshire-21,https://www.alanranger.com/blog-on-photography/what-is-exposure-in-photography,,
66,,,https://www.alanranger.com/photographic-workshops-near-me/bluebell-photography-photo-workshop-warwickshire-22,https://www.alanranger.com/blog-on-photography/what-is-minimalist-photography,,
67,,,https://www.alanranger.com/photographic-workshops-near-me/bluebell-photography-photo-workshop-warwickshire-23,https://www.alanranger.com/blog-on-photography/what-is-metering-in-photography,,
68,,,https://www.alanranger.com/photographic-workshops-near-me/bluebell-photography-photo-workshop-warwickshire-24,https://www.alanranger.com/blog-on-photography/how-to-take-long-exposure-photos,,
69,,,https://www.alanranger.com/photographic-workshops-near-me/bluebell-photography-photo-workshop-warwickshire-25,https://www.alanranger.com/blog-on-photography/what-is-shutter-speed,,
70,,,https://www.alanranger.com/photographic-workshops-near-me/bluebell-photography-photo-workshop-warwickshire-29,https://www.alanranger.com/blog-on-photography/what-is-iso-in-photography,,
71,,,https://www.alanranger.com/photographic-workshops-near-me/bluebell-photography-photo-workshop-warwickshire-30,https://www.alanranger.com/blog-on-photography/full-frame-vs-cropped-sensor,,
72,,,https://www.alanranger.com/photographic-workshops-near-me/dartmoor-photography-workshop-woodlands,https://www.alanranger.com/blog-on-photography/7-essential-camera-accessories,,
73,,,https://www.alanranger.com/photographic-workshops-near-me/dingle-kerry-ireland-photography-workshop,https://www.alanranger.com/blog-on-photography/are-mirrorless-cameras-better-than-dslrs,,
74,,,https://www.alanranger.com/photographic-workshops-near-me/dorset-photography-workshop,https://www.alanranger.com/blog-on-photography/how-to-back-up-photos,,
75,,,https://www.alanranger.com/photographic-workshops-near-me/exmoor-photography-workshops-seascapes-lynmouth,https://www.alanranger.com/blog-on-photography/beyond-a-point-and-shoot-camera,,
76,,,https://www.alanranger.com/photographic-workshops-near-me/fairy-glen-betws-y-coed-photography,https://www.alanranger.com/blog-on-photography/photo-editing-software,,
77,,,https://www.alanranger.com/photographic-workshops-near-me/fairy-glen-photography-betws-y-coed,https://www.alanranger.com/blog-on-photography/wildlife-photography-practice-assignment-free-lesson,,
78,,,https://www.alanranger.com/photographic-workshops-near-me/fairy-glen-photography-wales,https://www.alanranger.com/blog-on-photography/triptych-project-photography-assignment-free-lesson,,
79,,,https://www.alanranger.com/photographic-workshops-near-me/garden-photography-workshop,https://www.alanranger.com/blog-on-photography/landscapes-photography-practise-assignment,,
80,,,https://www.alanranger.com/photographic-workshops-near-me/garden-photography-workshop-mxyms,https://www.alanranger.com/blog-on-photography/closeup-macro-photography-practice-assignment,,
81,,,https://www.alanranger.com/photographic-workshops-near-me/hartland-quay-devon-seascapes-ynfcl,https://www.alanranger.com/blog-on-photography/seasons-nature-photography-assignment,,
82,,,https://www.alanranger.com/photographic-workshops-near-me/hartland-quay-photography-devon-seascapes,https://www.alanranger.com/blog-on-photography/architecture-photography-practice-assignment,,
83,,,https://www.alanranger.com/photographic-workshops-near-me/lake-district-photography-workshop-autumn,https://www.alanranger.com/blog-on-photography/still-life-photography-practice-assignment,,
84,,,https://www.alanranger.com/photographic-workshops-near-me/lake-district-photography-workshop-late-summer,https://www.alanranger.com/blog-on-photography/street-photography-practice-assignment,,
85,,,https://www.alanranger.com/photographic-workshops-near-me/lake-district-photography-workshop-spring,https://www.alanranger.com/blog-on-photography/portrait-photography-practice-assignment,,
86,,,https://www.alanranger.com/photographic-workshops-near-me/lake-district-photography-workshop-winter,https://www.alanranger.com/blog-on-photography/black-and-white-photography-practise-assignment,,
87,,,https://www.alanranger.com/photographic-workshops-near-me/landscape-photography-snowdonia-workshop,https://www.alanranger.com/blog-on-photography/movement-and-intentional-blur-photography-assignment,,
88,,,https://www.alanranger.com/photographic-workshops-near-me/landscape-photography-wales-gower-peninsular,https://www.alanranger.com/blog-on-photography/dice-roll-serendipity-awareness-photography-assignment,,
89,,,https://www.alanranger.com/photographic-workshops-near-me/landscape-photography-workshops-yorkshire,https://www.alanranger.com/blog-on-photography/lines-shapes-and-geometry-photography-assignment,,
90,,,https://www.alanranger.com/photographic-workshops-near-me/landscape-photography-workshops-yorkshire-coast,https://www.alanranger.com/blog-on-photography/patterns-rhythm-and-repetition-photography-assignment,,
91,,,https://www.alanranger.com/photographic-workshops-near-me/lavender-photography-workshop-sunset,https://www.alanranger.com/blog-on-photography/colour-theory-in-photography-practise-assignment,,
92,,,https://www.alanranger.com/photographic-workshops-near-me/lavender-photography-workshop-sunset-19,https://www.alanranger.com/blog-on-photography/storytelling-narrative-photography-assignment,,
93,,,https://www.alanranger.com/photographic-workshops-near-me/long-exposure-photography-burnham-on-sea,https://www.alanranger.com/blog-on-photography/shadows-and-contrast-photography-practice-assignment,,
94,,,https://www.alanranger.com/photographic-workshops-near-me/long-exposure-photography-workshop-kenilworth1,https://www.alanranger.com/blog-on-photography/abstract-photography-practice-assignment-free-lesson,,
95,,,https://www.alanranger.com/photographic-workshops-near-me/long-exposure-photography-workshop-kenilworth2,https://www.alanranger.com/blog-on-photography/minimalism-photography-assignment,,
96,,,https://www.alanranger.com/photographic-workshops-near-me/long-exposure-photography-workshop-kenilworth4,https://www.alanranger.com/blog-on-photography/visual-weight-and-flow-practice-assignment,,
97,,,https://www.alanranger.com/photographic-workshops-near-me/long-exposure-photo-workshop-sunset-kenilworth,https://www.alanranger.com/blog-on-photography/handheld-vs-tripod-stability-photography-assignment,,
98,,,https://www.alanranger.com/photographic-workshops-near-me/nant-mill-woodlands,https://www.alanranger.com/blog-on-photography/filters-mastery-nd-gnd-photography,,
99,,,https://www.alanranger.com/photographic-workshops-near-me/norfolk-photography-workshop,https://www.alanranger.com/blog-on-photography/histogram-and-exposure-review,,
100,,,https://www.alanranger.com/photographic-workshops-near-me/northumberland-landscape-photography-workshop,https://www.alanranger.com/blog-on-photography/white-balance-and-colour-photography,,
101,,,https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-autumn,https://www.alanranger.com/blog-on-photography/focus-modes-and-tracking,,
102,,,https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-autumn-2,https://www.alanranger.com/blog-on-photography/light-metering-modes-practice-photography-assignment,,
103,,,https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-heathers-sunrise,https://www.alanranger.com/blog-on-photography/iso-and-noise-control-practice-assignment,,
104,,,https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-heathers-sunset,https://www.alanranger.com/blog-on-photography/shutter-speed-and-motion-photography-practice-assignment,,
105,,,https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-spring,https://www.alanranger.com/blog-on-photography/aperture-and-depth-of-field-assignment,,
106,,,https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-sunrise-heathers,https://www.alanranger.com/blog-on-photography/exposure-triangle-mastery-photography-practice-assignment,,
107,,,https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-winter,https://www.alanranger.com/blog-on-photography/best-tripod-for-landscape-photography,,
108,,,https://www.alanranger.com/photographic-workshops-near-me/poppy-fields-photography-workshop-sunrise,https://www.alanranger.com/blog-on-photography/mastering-the-art-of-seasonal-photography,,
109,,,https://www.alanranger.com/photographic-workshops-near-me/poppy-fields-photography-workshop-sunset,https://www.alanranger.com/blog-on-photography/camera-lenses-hire-or-buy,,
110,,,https://www.alanranger.com/photographic-workshops-near-me/secrets-of-woodland-photography-masterclass-autumn,https://www.alanranger.com/blog-on-photography/peter-orton-rps-distinctions,,
111,,,https://www.alanranger.com/photographic-workshops-near-me/secrets-of-woodland-photography-masterclass-spring,https://www.alanranger.com/blog-on-photography/john-simpson-rps-distinctions,,
112,,,https://www.alanranger.com/photographic-workshops-near-me/secrets-of-woodland-photography-masterclass-summer,https://www.alanranger.com/blog-on-photography/five-creative-autumn-photography-projects,,
113,,,https://www.alanranger.com/photographic-workshops-near-me/secrets-of-woodland-photography-masterclass-winter,https://www.alanranger.com/blog-on-photography/autumn-photography-tips,,
114,,,https://www.alanranger.com/photographic-workshops-near-me/sezincote-garden-photography-workshop,https://www.alanranger.com/blog-on-photography/photographing-autumn-uk-landscape-photography-guide,,
115,,,https://www.alanranger.com/photographic-workshops-near-me/somerset-photography-workshop,https://www.alanranger.com/blog-on-photography/the-way-of-wu-wei-philosophy,,
116,,,https://www.alanranger.com/photographic-workshops-near-me/suffolk-landscape-photography-workshop,https://www.alanranger.com/blog-on-photography/composition-curiousness-part-1,,
117,,,https://www.alanranger.com/photographic-workshops-near-me/sunset-chesterton-windmill-photography-workshop,https://www.alanranger.com/blog-on-photography/composition-curiousness-part-2,,
118,,,https://www.alanranger.com/photographic-workshops-near-me/sunset-chesterton-windmill-spring,https://www.alanranger.com/blog-on-photography/photo-print-sizes-resize-photos,,
119,,,https://www.alanranger.com/photographic-workshops-near-me/sunset-chesterton-windmill-spring-7gw7j,https://www.alanranger.com/blog-on-photography/composition-in-photography,,
120,,,https://www.alanranger.com/photographic-workshops-near-me/sunset-chesterton-windmill-spring-7gw7j-9akd5,https://www.alanranger.com/blog-on-photography/free-outdoor-photography-exposure-calculator,,
121,,,https://www.alanranger.com/photographic-workshops-near-me/urban-architecture-photography-workshop-coventry,https://www.alanranger.com/blog-on-photography/photography-styles-trends-and-tips,,
122,,,https://www.alanranger.com/photographic-workshops-near-me/wales-photography-workshop-vyrnwy-pistyll-rhaeadr,https://www.alanranger.com/blog-on-photography/how-to-find-your-photography-style,,
123,,,https://www.alanranger.com/photographic-workshops-near-me/woodland-photography-walk-coventry-cv4,https://www.alanranger.com/blog-on-photography/the-art-of-storytelling-photography,,
124,,,https://www.alanranger.com/photographic-workshops-near-me/woodland-photography-walk-coventry-piles-coppice,https://www.alanranger.com/blog-on-photography/the-history-of-photography,,
125,,,https://www.alanranger.com/photographic-workshops-near-me/woodland-photography-walk-coventry-tile-hill,https://www.alanranger.com/blog-on-photography/creative-photography-workshops-unlocking-your-potential,,
126,,,https://www.alanranger.com/photographic-workshops-near-me/woodland-photography-walk-hay-woods,https://www.alanranger.com/blog-on-photography/architecture-photography-guide,,
127,,,https://www.alanranger.com/photographic-workshops-near-me/woodland-photography-walk-kenilworth-crackley-woods,https://www.alanranger.com/blog-on-photography/exposure-bracketing-a-guide-for-photographers,,
128,,,https://www.alanranger.com/photographic-workshops-near-me/woodland-photography-walk-leamington-oakley-wood,https://www.alanranger.com/blog-on-photography/photography-is-an-art-of-observation,,
129,,,https://www.alanranger.com/photographic-workshops-near-me/woodland-photography-walk-meriden-millisons-wood,https://www.alanranger.com/blog-on-photography/master-photography-with-a-photography-tutor,,
130,,,https://www.alanranger.com/photographic-workshops-near-me/woodland-photography-walk-solihull-hay-woods,https://www.alanranger.com/blog-on-photography/street-photography-tips,,
131,,,https://www.alanranger.com/photographic-workshops-near-me/yorkshire-dales-photography-workshop,https://www.alanranger.com/blog-on-photography/what-is-focus-in-photography,,
132,,,,https://www.alanranger.com/blog-on-photography/10-basic-camera-settings-for-camera,,
133,,,,https://www.alanranger.com/blog-on-photography/best-camera-bags-for-different-trips,,
