booking_category,event_text,canonical_product,confidence,note
2. Workshops Non Residenti,Batsford Arboretum 1-Day Autumn Photography,BATSFORD Arboretum Autumn Photography Workshops 23 - 31 Oct,HIGH,
2. Workshops Non Residenti,Batsford Arboretum Autumn Half-Day Photograp,BATSFORD Arboretum Autumn Photography Workshops 23 - 31 Oct,HIGH,
2. Workshops Non Residenti,Bluebells,BLUEBELL WOODLANDS Photography - Warks - 20 Apr- 30 Apr,HIGH,
2. Workshops Non Residenti,Blubells,BLUEBELL WOODLANDS Photography - Warks - 20 Apr- 30 Apr,HIGH,
2. Workshops Non Residenti,BLUEBELL WOODLANDS,BLUEBELL WOODLANDS Photography - Warks - 20 Apr- 30 Apr,HIGH,
2. Workshops Non Residenti,Chesterton,Photography Workshops CHESTERTON WINDMILL - Warwickshire,HIGH,
2. Workshops Non Residenti,2 x Chesterton,Photography Workshops CHESTERTON WINDMILL - Warwickshire,HIGH,
2. Workshops Non Residenti,CHESTERTON WINDMILL,Photography Workshops CHESTERTON WINDMILL - Warwickshire,HIGH,
2. Workshops Non Residenti,Sunset Photographic Workshop - Chesterton Wi,Photography Workshops CHESTERTON WINDMILL - Warwickshire,HIGH,
2. Workshops Non Residenti,Macro,MACRO Photography Workshops Warwickshire - Various,HIGH,
2. Workshops Non Residenti,Macro Workshop,MACRO Photography Workshops Warwickshire - Various,HIGH,
2. Workshops Non Residenti,Abstract,MACRO Photography Workshops Warwickshire - Various,HIGH,
2. Workshops Non Residenti,2 Places Macro,MACRO Photography Workshops Warwickshire - Various,HIGH,
2. Workshops Non Residenti,Abstract and Macro Photography Workshop Warw,MACRO Photography Workshops Warwickshire - Various,HIGH,
2. Workshops Non Residenti,Fairy Glen,FAIRY GLEN and Fairy Falls Long Exposure Photography,HIGH,
2. Workshops Non Residenti,Fairy Glen Betws-y-Coed Photography Workshop,FAIRY GLEN and Fairy Falls Long Exposure Photography,HIGH,
2. Workshops Non Residenti,Garden Photography,The Art of GARDEN PHOTOGRAPHY  - Coventry -  May and July,HIGH,
2. Workshops Non Residenti,Garden Workshop,The Art of GARDEN PHOTOGRAPHY  - Coventry -  May and July,HIGH,
2. Workshops Non Residenti,Garden Photography Workshop - Private Garden,The Art of GARDEN PHOTOGRAPHY  - Coventry -  May and July,HIGH,
2. Workshops Non Residenti,Sezincote,SEZINCOTE Garden Photography Workshop - Gloucs 29 May,HIGH,
2. Workshops Non Residenti,2 x Sezincote,SEZINCOTE Garden Photography Workshop - Gloucs 29 May,HIGH,
2. Workshops Non Residenti,Sezincote Garden Photography - Mughal palace,SEZINCOTE Garden Photography Workshop - Gloucs 29 May,HIGH,
2. Workshops Non Residenti,Kenilworth,Long Exposure Photography Workshop KENILWORTH Sunset,HIGH,
2. Workshops Non Residenti,Kenilworth Castle,Long Exposure Photography Workshop KENILWORTH Sunset,HIGH,
2. Workshops Non Residenti,Kenilworth LE,Long Exposure Photography Workshop KENILWORTH Sunset,HIGH,
2. Workshops Non Residenti,LE Kenilworth,Long Exposure Photography Workshop KENILWORTH Sunset,HIGH,
2. Workshops Non Residenti,KENILWORTH Sunset,Long Exposure Photography Workshop KENILWORTH Sunset,HIGH,
2. Workshops Non Residenti,Long Exposure Photography Workshop - Sunset,Long Exposure Photography Workshop KENILWORTH Sunset,HIGH,
2. Workshops Non Residenti,Burnham,BURNHAM ON SEA Long Exposure Photography Workshop 1 Aug,HIGH,
2. Workshops Non Residenti,Long Exposure Photography Workshop - Burnham,BURNHAM ON SEA Long Exposure Photography Workshop 1 Aug,HIGH,
2. Workshops Non Residenti,BURNHAM ON SEA,BURNHAM ON SEA Long Exposure Photography Workshop 1 Aug,HIGH,
2. Workshops Non Residenti,Lavendar,LAVENDER FIELD Photography Workshop - Gloucestershire July,HIGH,
2. Workshops Non Residenti,Lavender,LAVENDER FIELD Photography Workshop - Gloucestershire July,HIGH,
2. Workshops Non Residenti,LAVENDER FIELD Photography,LAVENDER FIELD Photography Workshop - Gloucestershire July,HIGH,
2. Workshops Non Residenti,Lavender Photography Workshop Gloucestershir,LAVENDER FIELD Photography Workshop - Gloucestershire July,HIGH,
2. Workshops Non Residenti,Peak District,"PEAK DISTRICT Photography Workshops - May, Oct and Nov",HIGH,
2. Workshops Non Residenti,Peak District May 2025,"PEAK DISTRICT Photography Workshops - May, Oct and Nov",HIGH,
2. Workshops Non Residenti,Peak District Oct,"PEAK DISTRICT Photography Workshops - May, Oct and Nov",HIGH,
2. Workshops Non Residenti,Padley,"PEAK DISTRICT Photography Workshops - May, Oct and Nov",HIGH,
2. Workshops Non Residenti,Peak District Photography Workshops Padley G,"PEAK DISTRICT Photography Workshops - May, Oct and Nov",HIGH,
2. Workshops Non Residenti,Heathers,PEAK DISTRICT HEATHER Photography Workshops - 15-16 Aug,HIGH,
2. Workshops Non Residenti,Peak District Photography Workshops - Heathe,PEAK DISTRICT HEATHER Photography Workshops - 15-16 Aug,HIGH,
2. Workshops Non Residenti,Urban,URBAN ARCHITECTURE Photography Workshops - Coventry 9 Sep,HIGH,
2. Workshops Non Residenti,Urban Arch,URBAN ARCHITECTURE Photography Workshops - Coventry 9 Sep,HIGH,
2. Workshops Non Residenti,Urban Architecture,URBAN ARCHITECTURE Photography Workshops - Coventry 9 Sep,HIGH,
2. Workshops Non Residenti,Urban Coventry,URBAN ARCHITECTURE Photography Workshops - Coventry 9 Sep,HIGH,
2. Workshops Non Residenti,Urban Workshop,URBAN ARCHITECTURE Photography Workshops - Coventry 9 Sep,HIGH,
2. Workshops Non Residenti,Cov Urban,URBAN ARCHITECTURE Photography Workshops - Coventry 9 Sep,HIGH,
2. Workshops Non Residenti,Architecture,URBAN ARCHITECTURE Photography Workshops - Coventry 9 Sep,HIGH,
2. Workshops Non Residenti,Evening Urban Architecture Photography Works,URBAN ARCHITECTURE Photography Workshops - Coventry 9 Sep,HIGH,
2. Workshops Non Residenti,Christmas Walk,Christmas Photography Seasonal Workshops | Warwickshire,HIGH,
2. Workshops Non Residenti,Poppies,Poppy Fields Photography Workshops | Worcestershire,HIGH,
2. Workshops Non Residenti,Stratford,Non-Residential Workshop - Generic (historical),MED,"user: non-res workshop, specific event unknown"
2. Workshops Non Residenti,Clent Hills,Non-Residential Workshop - Generic (historical),MED,"user: non-res workshop, specific event unknown"
2. Workshops Non Residenti,Various,Non-Residential Workshop - Generic (historical),MED,"user: non-res workshop, specific event unknown"
2. Workshops Non Residenti,Balance for Peak District,"PEAK DISTRICT Photography Workshops - May, Oct and Nov",MED,balance payment
2. Workshops Non Residenti,Extra night B&B,Residential Workshop - Add-on (Extra Night/B&B),HIGH,user: residential workshop add-on
3. Workshops Residential,Hartland Quay,Landscape Photography DEVON Workshops - Various Dates,HIGH,
3. Workshops Residential,Hartland,Landscape Photography DEVON Workshops - Various Dates,HIGH,
3. Workshops Residential,Hartland Double Occ,Residential Workshop - Add-on (Extra Night/B&B),HIGH,user: residential workshop add-on
3. Workshops Residential,Devon,Landscape Photography DEVON Workshops - Various Dates,HIGH,
3. Workshops Residential,Lake District,LAKE DISTRICT Photography Workshops - Jan - Mar - Sep - Nov,HIGH,
3. Workshops Residential,Lake Distrct,LAKE DISTRICT Photography Workshops - Jan - Mar - Sep - Nov,HIGH,
3. Workshops Residential,Northumberland,NORTHUMBERLAND Photography Workshops - Mar 18 - 21,HIGH,
3. Workshops Residential,Northumbria,NORTHUMBERLAND Photography Workshops - Mar 18 - 21,HIGH,
3. Workshops Residential,Norfolk,Landscape Photography Workshop NORFOLK - Coastal 20 - 22 Nov,HIGH,
3. Workshops Residential,Norfolk extra night,Residential Workshop - Add-on (Extra Night/B&B),HIGH,user: residential workshop add-on
3. Workshops Residential,Gower,GOWER Landscape Photography Wales - 28 Aug - 30 Aug 2026,HIGH,
3. Workshops Residential,Dorset,DORSET Landscape Photography Workshop Purbeck 25 - 27 Sep,HIGH,
3. Workshops Residential,Snowdonia,Landscape Photography SNOWDONIA - Sat 26 - Sun 27 Sep 2026,HIGH,
3. Workshops Residential,Yorkshire Dales,Landscape YORKSHIRE DALES Photography Workshop - 16 - 18 Apr,HIGH,
3. Workshops Residential,Anglesey 2 places,ANGLESEY Landscape Photography Workshop -  May 2027,HIGH,
3. Workshops Residential,Lake Vyrnwy,WALES Photography Workshop | Lake Vyrnwy 10-11 Oct,HIGH,
3. Workshops Residential,WALES Photography Workshop,WALES Photography Workshop | Lake Vyrnwy 10-11 Oct,HIGH,
3. Workshops Residential,Bluebells,BLUEBELL WOODLANDS Photography - Warks - 20 Apr- 30 Apr,HIGH,"user: non-res, logged under Residential by mistake"
3. Workshops Residential,Woodland Masterclass,"The Secret of WOODLAND PHOTOGRAPHY- 1-Day Jan, Apr, Aug, Oct",HIGH,"user: non-res, logged under Residential by mistake"
3. Workshops Residential,Lavender,LAVENDER FIELD Photography Workshop - Gloucestershire July,HIGH,"user: non-res, logged under Residential by mistake"
3. Workshops Residential,Garden Workshop,The Art of GARDEN PHOTOGRAPHY  - Coventry -  May and July,HIGH,"user: non-res, logged under Residential by mistake"
3. Workshops Residential,Poppies,Poppy Fields Photography Workshops | Worcestershire,HIGH,"user: non-res, logged under Residential by mistake"
3. Workshops Residential,Extra Night,Residential Workshop - Add-on (Extra Night/B&B),HIGH,user: residential workshop add-on
3. Workshops Residential,Extra Night B&B,Residential Workshop - Add-on (Extra Night/B&B),HIGH,user: residential workshop add-on
6. Mentoring,Mentoring Subs,Mentoring - Monthly Subscription,HIGH,
6. Mentoring,Monthly Mentoring,Mentoring - Monthly Subscription,HIGH,
6. Mentoring,Annual Mentoring,Mentoring - Monthly Subscription,HIGH,
6. Mentoring,Mentoring RPS,RPS Mentoring Course (historical),HIGH,
6. Mentoring,6 x 1hr Zooms,1-2-1 Package - 4 x 1hr Zoom,HIGH,user: online 1-2-1 Zoom
7. 1-2-1,1hr 1-2-1,1-2-1 Single Session - 1hr (Face-to-Face),HIGH,
7. 1-2-1,1hr 1-2-1 F2F,1-2-1 Single Session - 1hr (Face-to-Face),HIGH,
7. 1-2-1,1hr F2F,1-2-1 Single Session - 1hr (Face-to-Face),HIGH,
7. 1-2-1,1hr F2F 1-2-1,1-2-1 Single Session - 1hr (Face-to-Face),HIGH,
7. 1-2-1,1hrs 1-2-1,1-2-1 Single Session - 1hr (Face-to-Face),HIGH,
7. 1-2-1,1-2-1,1-2-1 Single Session - 1hr (Face-to-Face),HIGH,
7. 1-2-1,1-2-1 F2F,1-2-1 Single Session - 1hr (Face-to-Face),HIGH,
7. 1-2-1,1-2-1 lesson,1-2-1 Single Session - 1hr (Face-to-Face),HIGH,
7. 1-2-1,121,1-2-1 Single Session - 1hr (Face-to-Face),HIGH,
7. 1-2-1,1hr,1-2-1 Single Session - 1hr (Face-to-Face),HIGH,
7. 1-2-1,1-2-1 Balance,1-2-1 Single Session - 1hr (Face-to-Face),HIGH,
7. 1-2-1,2hr 1-2-1,1-2-1 Single Session - 2hr (Face-to-Face),HIGH,
7. 1-2-1,2hr F2F,1-2-1 Single Session - 2hr (Face-to-Face),HIGH,
7. 1-2-1,2hrs 1-2-1,1-2-1 Single Session - 2hr (Face-to-Face),HIGH,
7. 1-2-1,2hrs F-2-F,1-2-1 Single Session - 2hr (Face-to-Face),HIGH,
7. 1-2-1,2hrs F2F 1-2-1,1-2-1 Single Session - 2hr (Face-to-Face),HIGH,
7. 1-2-1,2hr f2f 1-2-1,1-2-1 Single Session - 2hr (Face-to-Face),HIGH,
7. 1-2-1,F2F 1-2-1,1-2-1 Single Session - 2hr (Face-to-Face),HIGH,
7. 1-2-1,2hr F2F 121,1-2-1 Single Session - 2hr (Face-to-Face),HIGH,
7. 1-2-1,3hr Location 1-2-1,1-2-1 Single Session - 2hr (Face-to-Face),MED,3hr location variant
7. 1-2-1,1-2-1 Zoom,1-2-1 Single Session - 1hr Zoom,HIGH,
7. 1-2-1,1hr Zoom,1-2-1 Single Session - 1hr Zoom,HIGH,
7. 1-2-1,Zoom 1hr,1-2-1 Single Session - 1hr Zoom,HIGH,
7. 1-2-1,Zoom 1 Hr,1-2-1 Single Session - 1hr Zoom,HIGH,
7. 1-2-1,Zomm 1hr,1-2-1 Single Session - 1hr Zoom,HIGH,
7. 1-2-1,2hr Zoom 1-2-1,1-2-1 Single Session - 1hr Zoom,HIGH,
7. 1-2-1,4 x 2hr 1-2-1,1-2-1 Package - 4 x 2hr Face-to-Face (the GBP360 4-for-3),HIGH,
7. 1-2-1,4 x 2hr 1-2-1 F2F,1-2-1 Package - 4 x 2hr Face-to-Face (the GBP360 4-for-3),HIGH,
7. 1-2-1,4 x 2hr 1-2-1 Lessons,1-2-1 Package - 4 x 2hr Face-to-Face (the GBP360 4-for-3),HIGH,
7. 1-2-1,4 x 2hr 1-2-1s,1-2-1 Package - 4 x 2hr Face-to-Face (the GBP360 4-for-3),HIGH,
7. 1-2-1,4 x 2hr 121s,1-2-1 Package - 4 x 2hr Face-to-Face (the GBP360 4-for-3),HIGH,
7. 1-2-1,4 x 2hr sessions,1-2-1 Package - 4 x 2hr Face-to-Face (the GBP360 4-for-3),HIGH,
7. 1-2-1,4 x 2hrs,1-2-1 Package - 4 x 2hr Face-to-Face (the GBP360 4-for-3),HIGH,
7. 1-2-1,4 x2hr 1-2-1s,1-2-1 Package - 4 x 2hr Face-to-Face (the GBP360 4-for-3),HIGH,
7. 1-2-1,4x2hr 1-2-1s,1-2-1 Package - 4 x 2hr Face-to-Face (the GBP360 4-for-3),HIGH,
7. 1-2-1,4x2hr 121s,1-2-1 Package - 4 x 2hr Face-to-Face (the GBP360 4-for-3),HIGH,
7. 1-2-1,4 1hr Zooms,1-2-1 Package - 4 x 1hr Zoom,HIGH,
7. 1-2-1,4 x 1 hr zooms,1-2-1 Package - 4 x 1hr Zoom,HIGH,
7. 1-2-1,4 x 1hr 1-2-1,1-2-1 Package - 4 x 1hr Zoom,HIGH,
7. 1-2-1,4 x 1hr 1-2-1s,1-2-1 Package - 4 x 1hr Zoom,HIGH,
7. 1-2-1,4 x 1hr Zoom,1-2-1 Package - 4 x 1hr Zoom,HIGH,
7. 1-2-1,4 x1hr Zooms,1-2-1 Package - 4 x 1hr Zoom,HIGH,
7. 1-2-1,Zoom 1-2-1s,1-2-1 Package - 4 x 1hr Zoom,HIGH,
7. 1-2-1,Zoom Package,1-2-1 Package - Zoom Multi-Session,HIGH,
7. 1-2-1,Zoom Package 8 x 1hr,1-2-1 Package - Zoom Multi-Session,HIGH,
7. 1-2-1,6 Zoom Lessons,1-2-1 Package - Zoom Multi-Session,HIGH,
7. 1-2-1,6 x 1hr sessions,1-2-1 Package - Zoom Multi-Session,HIGH,
7. 1-2-1,4hrs 1-2-1,1-2-1 Package - Zoom Multi-Session,HIGH,
7. 1-2-1,1-2-1 s,1-2-1 Package - Zoom Multi-Session,HIGH,
7. 1-2-1,Photography Lessons - Private 1-2-1 (1HR),1-2-1 Single Session - 1hr (Face-to-Face),HIGH,
7. 1-2-1,Photography Lessons - Private 1-2-1 (2hr),1-2-1 Single Session - 2hr (Face-to-Face),HIGH,
7. 1-2-1,RPS,RPS Mentoring Course (historical),HIGH,
7. 1-2-1,Mentoring,Mentoring - Monthly Subscription,MED,mis-categorised in 1-2-1?
7. 1-2-1,Batsford,1-2-1 Single Session - 2hr (Face-to-Face),HIGH,user: 1-2-1 private lesson
7. 1-2-1,Warwickshire,1-2-1 Single Session - 2hr (Face-to-Face),HIGH,user: 1-2-1 private lesson
7. 1-2-1,Norfolk-Suffolk,Commission - Commercial / Product Shoot,HIGH,user: commission (GBP1900 bespoke)
10. Prints & Royalties,Prints,Print Sale - Generic (historical),HIGH,
10. Prints & Royalties,Print Sale,Print Sale - Generic (historical),HIGH,
10. Prints & Royalties,Print Sales,Print Sale - Generic (historical),HIGH,
10. Prints & Royalties,Print sales,Print Sale - Generic (historical),HIGH,
10. Prints & Royalties,Cards,Print Sale - Generic (historical),HIGH,
10. Prints & Royalties,Pocket Guides,Print Sale - Generic (historical),HIGH,
10. Prints & Royalties,Royalties,Royalties & Affiliate Income,HIGH,
10. Prints & Royalties,Royalty,Royalties & Affiliate Income,HIGH,
10. Prints & Royalties,Card royalies,Royalties & Affiliate Income,HIGH,
10. Prints & Royalties,Print royalties,Royalties & Affiliate Income,HIGH,
10. Prints & Royalties,Artfully Walls,Royalties & Affiliate Income,MED,affiliate print platform
11 Commissions,Product Shoot,Commission - Commercial / Product Shoot,HIGH,
11 Commissions,Air BnB Shoot,Commission - Commercial / Product Shoot,HIGH,
11 Commissions,Artwork Photography,Commission - Commercial / Product Shoot,HIGH,
11 Commissions,Author Photos,Commission - Commercial / Product Shoot,HIGH,
11 Commissions,Portrait Shoot,Commission - Commercial / Product Shoot,HIGH,
11 Commissions,Photo shoot sculpture,Commission - Commercial / Product Shoot,HIGH,
11 Commissions,Screfix Job,Commission - Commercial / Product Shoot,HIGH,
11 Commissions,On Location,Commission - Commercial / Product Shoot,HIGH,
11 Commissions,4hrs for 2 People,Commission - Commercial / Product Shoot,HIGH,
11 Commissions,Biggin Hall Enquiry,Commission - Commercial / Product Shoot,HIGH,
11 Commissions,Autumn Creative,Commission - Commercial / Product Shoot,HIGH,
11 Commissions,Corporate Training,Commission - Corporate / Staff Training,HIGH,
11 Commissions,Staff Training,Commission - Corporate / Staff Training,HIGH,
11 Commissions,PWA Training,Commission - Corporate / Staff Training,HIGH,
11 Commissions,Camera Club Talk,Commission - Corporate / Staff Training,HIGH,
11 Commissions,Consultancy,Commission - Corporate / Staff Training,HIGH,
11 Commissions,Guest Blog,Commission - Editorial / Guest Blog / Judging,HIGH,
11 Commissions,Blog Post,Commission - Editorial / Guest Blog / Judging,HIGH,
11 Commissions,Judging,Commission - Editorial / Guest Blog / Judging,HIGH,
11 Commissions,Judging Fees,Commission - Editorial / Guest Blog / Judging,HIGH,
11 Commissions,Photo Editing,Commission - Editorial / Guest Blog / Judging,HIGH,
11 Commissions,Travel Costs,Royalties & Affiliate Income,LOW,expense reimbursement
12. Academy,Academy,Academy - Membership & Income,HIGH,
12. Academy,Academy Membership,Academy - Membership & Income,HIGH,
12. Academy,Annual Member,Academy - Membership & Income,HIGH,
12. Academy,Academy Exams,Academy - Membership & Income,HIGH,
12. Academy,Exams Module,Academy - Membership & Income,HIGH,
12. Academy,15 Exams,Academy - Membership & Income,HIGH,
12. Academy,Ebook,Academy - Membership & Income,HIGH,
12. Academy,eBook Academy,Academy - Membership & Income,HIGH,
12. Academy,e-Book,Academy - Membership & Income,HIGH,
12. Academy,E-Book,Academy - Membership & Income,HIGH,
12. Academy,E-Book Foundation,Academy - Membership & Income,HIGH,
12. Academy,E-book online course,Academy - Membership & Income,HIGH,
12. Academy,Academby Book,Academy - Membership & Income,HIGH,
12. Academy,Academby Book +PDFs,Academy - Membership & Income,HIGH,
12. Academy,Academy eBook,Academy - Membership & Income,HIGH,
12. Academy,35 PDF Bundle,Academy - Membership & Income,HIGH,
12. Academy,Donation,Academy - Membership & Income,HIGH,
12. Academy,Sensor Clean,Sensor Clean Service (historical),HIGH,
12. Academy,sensore clean,Sensor Clean Service (historical),HIGH,
12. Academy,Sensor Clean x 3,Sensor Clean Service (historical),HIGH,
12. Other,Academy,Academy - Membership & Income,HIGH,
12. Other,Academy Membership,Academy - Membership & Income,HIGH,
12. Other,Annual Member,Academy - Membership & Income,HIGH,
12. Other,Academy Exams,Academy - Membership & Income,HIGH,
12. Other,Exams Module,Academy - Membership & Income,HIGH,
12. Other,15 Exams,Academy - Membership & Income,HIGH,
12. Other,Ebook,Academy - Membership & Income,HIGH,
12. Other,eBook Academy,Academy - Membership & Income,HIGH,
12. Other,e-Book,Academy - Membership & Income,HIGH,
12. Other,E-Book,Academy - Membership & Income,HIGH,
12. Other,E-Book Foundation,Academy - Membership & Income,HIGH,
12. Other,E-book online course,Academy - Membership & Income,HIGH,
12. Other,Academby Book,Academy - Membership & Income,HIGH,
12. Other,Academby Book +PDFs,Academy - Membership & Income,HIGH,
12. Other,Academy eBook,Academy - Membership & Income,HIGH,
12. Other,35 PDF Bundle,Academy - Membership & Income,HIGH,
12. Other,Donation,Academy - Membership & Income,HIGH,
12. Other,Sensor Clean,Sensor Clean Service (historical),HIGH,
12. Other,sensore clean,Sensor Clean Service (historical),HIGH,
12. Other,Sensor Clean x 3,Sensor Clean Service (historical),HIGH,
12. Other,Guest Blog,Commission - Editorial / Guest Blog / Judging,HIGH,
12. Other,Kase Affiliates,Royalties & Affiliate Income,HIGH,
12. Other,Pocket Guides,Print Sale - Generic (historical),HIGH,
12. Other,Tripod,Print Sale - Generic (historical),LOW,merch/kit sale
4. Pick n Mix Inc,Pick N Mix Payments,Pick N Mix Payment Plan,HIGH,
4. Pick n Mix Inc,Annual PnM,Pick N Mix Payment Plan,HIGH,
4. Pick n Mix Inc,PnM Balance,Pick N Mix Payment Plan,HIGH,
4. Pick n Mix Inc,Kirsten,Pick N Mix Payment Plan,HIGH,
8. Gift Vouchers Inc,Digital Gift Card,Gift Voucher - Digital eCard,HIGH,
8. Gift Vouchers Inc,Digital Gidt Card,Gift Voucher - Digital eCard,HIGH,
8. Gift Vouchers Inc,Digital Voucher,Gift Voucher - Digital eCard,HIGH,
8. Gift Vouchers Inc,Digital e-Card,Gift Voucher - Digital eCard,HIGH,
8. Gift Vouchers Inc,Gift Voucher,Gift Voucher - Digital eCard,HIGH,
8. Gift Vouchers Inc,Batsford,Gift Voucher - Digital eCard,LOW,voucher against Batsford
2. Workshops Non Residential,Long Exposure Photography Workshop - Sunset - Kenilworth,Long Exposure Photography Workshop KENILWORTH Sunset,HIGH,full untruncated event string
2. Workshops Non Residential,Sunset Photographic Workshop - Chesterton Windmill,Photography Workshops CHESTERTON WINDMILL - Warwickshire,HIGH,full untruncated event string
2. Workshops Non Residential,Batsford Arboretum 1-Day Autumn Photography Workshop,BATSFORD Arboretum Autumn Photography Workshops 23 - 31 Oct,HIGH,full untruncated event string
2. Workshops Non Residential,Peak District Photography Workshops Padley Gorge,"PEAK DISTRICT Photography Workshops - May, Oct and Nov",HIGH,full untruncated event string
2. Workshops Non Residential,Evening Urban Architecture Photography Workshop,URBAN ARCHITECTURE Photography Workshops - Coventry 9 Sep,HIGH,full untruncated event string
2. Workshops Non Residential,Lavender Photography Workshop Gloucestershire at Sunset,LAVENDER FIELD Photography Workshop - Gloucestershire July,HIGH,full untruncated event string
2. Workshops Non Residential,Garden Photography Workshop - Private Garden - Coventry,The Art of GARDEN PHOTOGRAPHY  - Coventry -  May and July,HIGH,full untruncated event string
2. Workshops Non Residential,Batsford Arboretum Autumn Half-Day Photography Workshop,BATSFORD Arboretum Autumn Photography Workshops 23 - 31 Oct,HIGH,full untruncated event string
2. Workshops Non Residential,Fairy Glen Betws-y-Coed Photography Workshop -  Wales,FAIRY GLEN and Fairy Falls Long Exposure Photography,HIGH,full untruncated event string
2. Workshops Non Residential,Abstract and Macro Photography Workshop Warwickshire,MACRO Photography Workshops Warwickshire - Various,HIGH,full untruncated event string
2. Workshops Non Residential,The Secrets of Woodland Photography - 1-Day Masterclass,"The Secret of WOODLAND PHOTOGRAPHY- 1-Day Jan, Apr, Aug, Oct",HIGH,full untruncated event string
2. Workshops Non Residential,Sezincote Garden Photography - Mughal palace in Cotswolds,SEZINCOTE Garden Photography Workshop - Gloucs 29 May,HIGH,full untruncated event string
2. Workshops Non Residential,Peak District Photography Workshops - Heathers,PEAK DISTRICT HEATHER Photography Workshops - 15-16 Aug,HIGH,full untruncated event string
2. Workshops Non Residential,Long Exposure Photography Workshop - Burnham on Sea Sunset,BURNHAM ON SEA Long Exposure Photography Workshop 1 Aug,HIGH,full untruncated event string
